,Latitude,Longitude,Datetime,yr,mo,day,cluster
95,41.9814333333333,-87.7877766666667,2011-09-07,2011,9,7,1
96,41.9809983333333,-87.7877783333333,2011-09-07,2011,9,7,1
97,41.98056,-87.7877616666667,2011-09-07,2011,9,7,1
98,41.9801983333333,-87.7877583333333,2011-09-07,2011,9,7,1
99,41.9797516666667,-87.78776500000001,2011-09-07,2011,9,7,1
100,41.9793516666667,-87.7877533333333,2011-09-07,2011,9,7,1
101,41.97885,-87.7877633333333,2011-09-07,2011,9,7,1
102,41.978398333333296,-87.7877733333333,2011-09-07,2011,9,7,1
103,41.977990000000005,-87.78775999999999,2011-09-07,2011,9,7,1
104,41.977495000000005,-87.7877783333333,2011-09-07,2011,9,7,1
105,41.975373333333295,-87.78783666666669,2011-09-07,2011,9,7,1
106,41.9748233333333,-87.7878416666667,2011-09-07,2011,9,7,1
107,41.9742833333333,-87.7878666666667,2011-09-07,2011,9,7,1
108,41.97381,-87.78788,2011-09-07,2011,9,7,1
109,41.9733533333333,-87.78788,2011-09-07,2011,9,7,1
110,41.972905,-87.7878933333333,2011-09-07,2011,9,7,1
111,41.972446666666706,-87.7878933333333,2011-09-07,2011,9,7,1
112,41.9719183333333,-87.7879216666667,2011-09-07,2011,9,7,1
113,41.9713833333333,-87.7879283333333,2011-09-07,2011,9,7,1
114,41.970898333333295,-87.78792,2011-09-07,2011,9,7,1
115,41.9704,-87.7879466666667,2011-09-07,2011,9,7,1
116,41.96987,-87.7879616666667,2011-09-07,2011,9,7,2
117,41.96934,-87.7879783333333,2011-09-07,2011,9,7,2
118,41.9685533333333,-87.78869499999999,2011-09-07,2011,9,7,2
119,41.9685566666667,-87.7891083333333,2011-09-07,2011,9,7,2
120,41.9687633333333,-87.7891483333333,2011-09-07,2011,9,7,2
121,41.968866666666706,-87.789165,2011-09-07,2011,9,7,2
122,41.969145000000005,-87.7891766666667,2011-09-07,2011,9,7,2
123,41.969421666666705,-87.7892016666667,2011-09-07,2011,9,7,2
124,41.969691666666705,-87.7892033333333,2011-09-07,2011,9,7,2
125,41.9702533333333,-87.7892466666667,2011-09-07,2011,9,7,1
